,trade_id,trade_date,security_id,trader_id,trade_type,quantity,price,last_modified_ts,trade_value
21,100222,2026-05-19,3,1,BUY,191000,99.38,2026-05-19 16:33:00,18981580.0
22,100378,2026-06-01,6,4,BUY,4500,2358.7,2026-06-01 17:47:00,10614150.0
23,100261,2026-05-22,1,1,SELL,2400,1714.91,2026-05-22 11:01:00,4115784.0
24,100240,2026-05-21,6,2,BUY,2100,2989.02,2026-05-21 14:50:00,6276942.0
25,100549,2026-06-12,1,2,BUY,3000,304.21,2026-06-12 14:45:00,912629.9999999999
26,100509,2026-06-10,3,1,SELL,28000,98.74,2026-06-10 15:37:00,2764720.0
27,100239,2026-05-21,7,1,SELL,138000,98.74,2026-05-21 15:05:00,13626120.0
28,100063,2026-05-06,5,1,BUY,3900,1475.42,2026-05-06 14:27:00,5754138.0
29,100150,2026-05-14,5,2,BUY,2800,3133.93,2026-05-14 10:28:00,8775004.0
30,100123,2026-05-12,5,2,BUY,400,656.06,2026-05-12 13:38:00,262424.0
31,100346,2026-05-29,5,2,BUY,2700,1066.53,2026-05-29 09:35:00,2879631.0
32,100545,2026-06-12,6,3,SELL,3900,2118.94,2026-06-12 12:28:00,8263866.0
33,100336,2026-05-28,2,5,BUY,500,3157.72,2026-05-28 16:02:00,1578860.0
34,100504,2026-06-10,4,5,SELL,4800,2277.76,2026-06-10 09:45:00,10933248.000000002
35,100230,2026-05-20,2,3,BUY,3300,2501.17,2026-05-20 17:02:00,8253861.0
36,100035,2026-05-04,3,3,SELL,73000,103.74,2026-05-04 10:28:00,7573020.0
37,100327,2026-05-27,3,4,SELL,186000,96.17,2026-05-27 13:23:00,17887620.0
38,100227,2026-05-20,2,3,SELL,4200,2564.57,2026-05-20 11:42:00,10771194.0
39,100283,2026-05-25,8,1,BUY,1100,1490.8,2026-05-25 16:29:00,1639880.0
40,100286,2026-05-25,6,2,SELL,800,965.79,2026-05-25 12:09:00,772632.0
41,100019,2026-05-01,5,5,BUY,4400,2348.2,2026-05-01 17:48:00,10332080.0
42,100040,2026-05-05,1,6,SELL,400,302.93,2026-05-05 16:32:00,121172.0
43,100070,2026-05-06,6,4,SELL,2900,2210.66,2026-05-06 17:30:00,6410914.0
44,100208,2026-05-19,7,6,BUY,121000,95.19,2026-05-19 10:55:00,11517990.0
45,100472,2026-06-08,6,1,BUY,1200,830.71,2026-06-08 17:02:00,996852.0
46,100374,2026-06-01,6,5,BUY,3400,2953.41,2026-06-01 12:13:00,10041594.0
47,100080,2026-05-07,5,3,SELL,3500,395.76,2026-05-07 11:14:00,1385160.0
48,100493,2026-06-09,8,2,BUY,2200,523.71,2026-06-09 16:03:00,1152162.0
49,100467,2026-06-08,2,4,SELL,3300,1248.38,2026-06-08 16:54:00,4119654.0000000005
50,100277,2026-05-25,4,3,SELL,600,914.35,2026-05-25 17:17:00,548610.0
51,100275,2026-05-25,3,2,SELL,138000,104.11,2026-05-25 09:53:00,14367180.0
52,100497,2026-06-09,5,4,SELL,3600,1611.04,2026-06-09 10:17:00,5799744.0
53,100183,2026-05-15,6,5,BUY,2900,1686.71,2026-05-15 09:46:00,4891459.0
54,100167,2026-05-14,7,5,SELL,33000,102.91,2026-05-14 09:16:00,3396030.0
55,100273,2026-05-22,7,4,BUY,42000,104.72,2026-05-22 10:28:00,4398240.0
56,100045,2026-05-05,2,1,SELL,4000,3195.29,2026-05-05 10:04:00,12781160.0
57,100194,2026-05-18,1,3,SELL,2300,465.98,2026-05-18 17:13:00,1071754.0
58,100538,2026-06-12,8,1,SELL,800,1414.05,2026-06-12 11:36:00,1131240.0
59,100264,2026-05-22,8,3,SELL,2900,2477.41,2026-05-22 11:33:00,7184489.0
60,100009,2026-05-01,4,3,BUY,1500,2792.78,2026-05-01 15:17:00,4189170.0000000005
61,100230,2026-05-20,2,3,BUY,3300,2501.17,2026-05-20 17:02:00,8253861.0
62,100231,2026-05-20,6,5,BUY,3900,1299.0,2026-05-20 11:11:00,5066100.0
63,100038,2026-05-04,7,1,SELL,77000,104.27,2026-05-04 16:18:00,8028790.0
64,100440,2026-06-04,2,6,SELL,200,528.92,2026-06-04 11:28:00,105783.99999999999
65,100381,2026-06-01,4,3,SELL,2800,716.5,2026-06-01 15:05:00,2006200.0
66,100036,2026-05-04,2,1,BUY,600,2975.42,2026-05-04 12:10:00,1785252.0
67,100032,2026-05-04,2,1,SELL,2300,1441.91,2026-05-04 16:55:00,3316393.0
68,100353,2026-05-29,5,4,BUY,500,723.9,2026-05-29 17:13:00,361950.0
69,100073,2026-05-07,4,4,BUY,3000,1414.05,2026-05-07 12:45:00,4242150.0
70,100199,2026-05-18,3,6,BUY,33000,102.46,2026-05-18 12:24:00,3381180.0
71,100466,2026-06-08,2,1,SELL,2800,979.54,2026-06-08 10:16:00,2742712.0
72,100050,2026-05-05,5,3,BUY,4600,1195.78,2026-05-05 13:32:00,5500588.0
73,100557,2026-06-01,1,1,SELL,3600,0.0,2026-06-01 14:55:00,0.0
74,100476,2026-06-09,4,6,BUY,1000,169.45,2026-06-09 15:01:00,169450.0
75,100287,2026-05-25,2,1,SELL,2500,2785.7,2026-05-25 15:15:00,6964250.0
76,100285,2026-05-25,6,4,BUY,4900,1280.15,2026-05-25 17:06:00,6272735.0
77,100164,2026-05-14,7,2,BUY,43000,102.87,2026-05-14 14:33:00,4423410.0
78,100486,2026-06-09,2,5,SELL,5000,783.29,2026-06-09 13:29:00,3916450.0
79,100387,2026-06-02,1,3,SELL,2500,2526.47,2026-06-02 17:57:00,6316174.999999999
80,100129,2026-05-13,8,3,SELL,2200,1129.23,2026-05-13 10:54:00,2484306.0
81,100361,2026-05-29,3,2,SELL,68000,98.8,2026-05-29 12:31:00,6718400.0
82,100279,2026-05-25,3,5,BUY,53000,101.59,2026-05-25 14:53:00,5384270.0
83,100307,2026-05-26,8,2,BUY,1800,1852.16,2026-05-26 12:19:00,3333888.0
84,100377,2026-06-01,7,1,SELL,51000,100.64,2026-06-01 15:43:00,5132640.0
85,100297,2026-05-26,8,2,BUY,2100,2990.67,2026-05-26 14:10:00,6280407.0
86,100469,2026-06-08,1,1,BUY,1600,290.24,2026-06-08 14:24:00,464384.0
87,100237,2026-05-20,2,3,BUY,4900,638.95,2026-05-20 16:57:00,3130855.0
88,100065,2026-05-06,4,3,SELL,500,3044.07,2026-05-06 14:39:00,1522035.0
89,100095,2026-05-08,7,4,BUY,29000,100.92,2026-05-08 12:06:00,2926680.0
90,100338,2026-05-28,7,4,SELL,106000,95.8,2026-05-28 17:08:00,10154800.0
91,100313,2026-05-26,1,6,BUY,4100,860.15,2026-05-26 10:26:00,3526615.0
92,100540,2026-06-12,7,3,SELL,177000,99.86,2026-06-12 16:02:00,17675220.0
93,100110,2026-05-11,5,1,BUY,1900,843.82,2026-05-11 11:19:00,1603258.0
94,100076,2026-05-07,1,5,BUY,800,1542.21,2026-05-07 16:42:00,1233768.0
95,100211,2026-05-19,6,1,SELL,700,892.12,2026-05-19 15:33:00,624484.0
96,100492,2026-06-09,2,5,SELL,500,216.49,2026-06-09 10:12:00,108245.0
97,100457,2026-06-05,3,4,BUY,14000,100.87,2026-06-05 09:16:00,1412180.0
98,100256,2026-05-22,8,4,SELL,1200,1663.42,2026-05-22 16:23:00,1996104.0
99,100485,2026-06-09,2,2,BUY,1100,1521.18,2026-06-09 14:26:00,1673298.0
100,100244,2026-05-21,2,3,BUY,2000,521.64,2026-05-21 12:26:00,1043280.0
101,100044,2026-05-05,5,4,BUY,4300,2118.78,2026-05-05 16:20:00,9110754.0
102,100451,2026-06-05,2,5,SELL,2300,3087.91,2026-06-05 14:50:00,7102193.0
103,100204,2026-05-19,8,5,SELL,300,822.58,2026-05-19 09:00:00,246774.0
104,100101,2026-05-11,7,3,BUY,136000,103.51,2026-05-11 11:31:00,14077360.0
105,100120,2026-05-12,7,4,SELL,84000,95.33,2026-05-12 13:45:00,8007720.0
106,100536,2026-06-12,7,2,BUY,162000,97.58,2026-06-12 10:05:00,15807960.0
107,100498,2026-06-09,7,2,SELL,61000,101.43,2026-06-09 17:15:00,6187230.0
108,100051,2026-05-05,8,3,BUY,600,2084.57,2026-05-05 13:02:00,1250742.0
109,100016,2026-05-01,5,6,SELL,3800,1368.17,2026-05-01 12:08:00,5199046.0
110,100209,2026-05-19,6,5,SELL,3700,1383.49,2026-05-19 15:18:00,5118913.0
111,100291,2026-05-25,8,5,SELL,1900,1786.91,2026-05-25 10:27:00,3395129.0
112,100348,2026-05-29,7,5,SELL,188000,99.16,2026-05-29 11:19:00,18642080.0
113,100033,2026-05-04,1,6,BUY,400,1377.99,2026-05-04 14:51:00,551196.0
114,100182,2026-05-15,7,5,BUY,200000,95.64,2026-05-15 16:49:00,19128000.0
115,100474,2026-06-08,2,5,SELL,100,1275.2,2026-06-08 13:36:00,127520.0
116,100468,2026-06-08,3,3,BUY,75000,102.73,2026-06-08 10:14:00,7704750.0
117,100450,2026-06-05,7,5,SELL,65000,95.87,2026-06-05 10:08:00,6231550.0
118,100489,2026-06-09,7,5,BUY,183000,97.99,2026-06-09 11:01:00,17932170.0
119,100519,2026-06-10,7,4,SELL,99000,100.46,2026-06-10 10:53:00,9945540.0
120,100018,2026-05-01,7,5,BUY,108000,98.82,2026-05-01 16:33:00,10672560.0
121,100201,2026-05-18,2,1,BUY,1100,2451.03,2026-05-18 09:43:00,2696133.0
122,100022,2026-05-01,2,6,SELL,4100,1698.37,2026-05-01 12:09:00,6963317.0
123,100471,2026-06-08,6,2,SELL,4700,1125.8,2026-06-08 10:36:00,5291260.0
124,100006,2026-05-01,2,4,BUY,2300,2734.86,2026-05-01 13:51:00,6290178.0
125,100142,2026-05-13,3,4,SELL,98000,98.32,2026-05-13 17:24:00,9635360.0
126,100289,2026-05-25,8,4,SELL,3200,220.69,2026-05-25 15:32:00,706208.0
127,100096,2026-05-08,5,6,BUY,3700,2537.04,2026-05-08 14:34:00,9387048.0
128,100075,2026-05-07,2,4,BUY,1200,2602.54,2026-05-07 17:29:00,3123048.0
129,100462,2026-06-05,7,6,BUY,24000,97.44,2026-06-05 15:07:00,2338560.0
130,100166,2026-05-14,6,1,SELL,500,579.31,2026-05-14 12:55:00,289655.0
131,100508,2026-06-10,3,3,BUY,92000,95.6,2026-06-10 11:37:00,8795200.0
132,100516,2026-06-10,3,6,BUY,191000,101.7,2026-06-10 14:28:00,19424700.0
133,100342,2026-05-28,2,1,SELL,4000,2486.46,2026-05-28 09:15:00,9945840.0
134,100459,2026-06-05,7,4,SELL,31000,101.41,2026-06-05 17:39:00,3143710.0
135,100417,2026-06-03,2,6,BUY,2100,509.48,2026-06-03 13:07:00,1069908.0
136,100404,2026-06-02,4,4,SELL,2600,1562.34,2026-06-02 17:09:00,4062084.0
137,100122,2026-05-12,4,4,BUY,3500,835.67,2026-05-12 11:58:00,2924845.0
138,100179,2026-05-15,3,5,BUY,80000,103.58,2026-05-15 11:08:00,8286400.0
139,100355,2026-05-29,4,6,BUY,4800,3198.69,2026-05-29 16:58:00,15353712.0
140,100527,2026-06-11,8,2,BUY,200,781.21,2026-06-11 13:05:00,156242.0
141,100217,2026-05-19,8,4,SELL,1800,1953.83,2026-05-19 14:32:00,3516894.0
142,100270,2026-05-22,5,2,BUY,2400,1701.71,2026-05-22 10:12:00,4084104.0
143,100278,2026-05-25,3,6,SELL,167000,100.33,2026-05-25 17:41:00,16755110.0
144,100454,2026-06-05,4,6,SELL,1900,2120.82,2026-06-05 12:31:00,4029558.0000000005
145,100412,2026-06-03,7,4,BUY,190000,97.15,2026-06-03 13:48:00,18458500.0
146,100543,2026-06-12,6,1,SELL,2000,1098.4,2026-06-12 16:54:00,2196800.0
147,100548,2026-06-12,3,5,BUY,54000,96.93,2026-06-12 12:53:00,5234220.0
148,100481,2026-06-09,6,4,BUY,3800,441.51,2026-06-09 11:40:00,1677738.0
149,100314,2026-05-26,6,6,SELL,700,2227.64,2026-05-26 11:00:00,1559348.0
150,100001,2026-05-01,2,1,SELL,1600,830.79,2026-05-01 10:43:00,1329264.0
151,100218,2026-05-19,2,3,SELL,2900,264.7,2026-05-19 14:53:00,767630.0
152,100370,2026-06-01,5,3,SELL,2600,391.01,2026-06-01 15:29:00,1016626.0
153,100386,2026-06-01,1,1,SELL,3600,433.85,2026-06-01 14:55:00,1561860.0
154,100473,2026-06-08,7,1,SELL,82000,102.74,2026-06-08 13:20:00,8424680.0
155,100464,2026-06-08,3,6,BUY,51000,99.96,2026-06-08 14:33:00,5097960.0
156,100542,2026-06-12,7,3,BUY,22000,102.46,2026-06-12 13:57:00,2254120.0
157,100280,2026-05-25,1,1,BUY,300,3043.07,2026-05-25 13:41:00,912921.0
158,100163,2026-05-14,6,6,BUY,600,2924.36,2026-05-14 14:47:00,1754616.0
159,100410,2026-06-03,3,3,SELL,128000,97.32,2026-06-03 15:40:00,12456960.0
160,100396,2026-06-02,2,5,BUY,3800,3191.66,2026-06-02 11:43:00,12128308.0
161,100453,2026-06-05,5,6,BUY,4300,2821.27,2026-06-05 12:33:00,12131461.0
162,100418,2026-06-03,3,3,BUY,140000,98.88,2026-06-03 11:36:00,13843200.0
163,100023,2026-05-04,3,5,BUY,163000,98.24,2026-05-04 09:07:00,16013120.0
164,100259,2026-05-22,8,5,SELL,1100,2253.78,2026-05-22 14:28:00,2479158.0
165,100147,2026-05-13,3,4,BUY,29000,99.69,2026-05-13 13:21:00,2891010.0
166,100114,2026-05-11,1,3,SELL,800,2657.45,2026-05-11 15:31:00,2125960.0
167,100118,2026-05-12,1,5,BUY,4900,783.75,2026-05-12 12:16:00,3840375.0
168,100288,2026-05-25,3,3,SELL,58000,102.63,2026-05-25 16:32:00,5952540.0
169,100330,2026-05-27,8,5,SELL,500,2947.6,2026-05-27 10:03:00,1473800.0
170,100366,2026-06-01,3,1,BUY,139000,99.56,2026-06-01 09:39:00,13838840.0
171,100389,2026-06-02,5,3,SELL,1000,342.96,2026-06-02 15:17:00,342960.0
172,100189,2026-05-15,6,4,SELL,2700,2375.32,2026-05-15 14:27:00,6413364.0
173,100136,2026-05-13,3,3,BUY,151000,99.08,2026-05-13 12:53:00,14961080.0
174,100213,2026-05-19,3,1,BUY,145000,100.1,2026-05-19 14:22:00,14514500.0
175,100202,2026-05-18,2,3,SELL,4300,1443.25,2026-05-18 16:26:00,6205975.0
176,100013,2026-05-01,6,1,BUY,300,2605.39,2026-05-01 15:17:00,781617.0
177,100072,2026-05-06,4,6,SELL,1500,2610.02,2026-05-06 11:01:00,3915030.0
178,100426,2026-06-04,1,6,SELL,3500,816.55,2026-06-04 15:06:00,2857925.0
179,100491,2026-06-09,1,1,BUY,900,754.31,2026-06-09 15:23:00,678879.0
180,100316,2026-05-27,1,1,BUY,3500,2402.99,2026-05-27 09:58:00,8410465.0
181,100126,2026-05-12,6,5,SELL,200,428.55,2026-05-12 09:48:00,85710.0
182,100371,2026-06-01,4,6,BUY,2000,2236.33,2026-06-01 10:41:00,4472660.0
183,100043,2026-05-05,2,4,SELL,1700,772.99,2026-05-05 14:15:00,1314083.0
184,100127,2026-05-12,5,5,BUY,4900,2456.62,2026-05-12 16:33:00,12037438.0
185,100309,2026-05-26,6,5,SELL,1900,521.72,2026-05-26 17:24:00,991268.0
186,100350,2026-05-29,3,4,BUY,153000,99.13,2026-05-29 15:35:00,15166890.0
187,100041,2026-05-05,3,1,BUY,57000,95.69,2026-05-05 10:43:00,5454330.0
188,100531,2026-06-11,1,2,BUY,600,2187.83,2026-06-11 17:26:00,1312698.0
189,100421,2026-06-03,1,3,BUY,3200,566.43,2026-06-03 15:35:00,1812575.9999999998
190,100014,2026-05-01,2,2,SELL,1400,2149.09,2026-05-01 15:56:00,3008726.0
191,100495,2026-06-09,7,2,SELL,64000,104.08,2026-06-09 13:17:00,6661120.0
192,100143,2026-05-13,8,3,BUY,4500,878.36,2026-05-13 15:14:00,3952620.0
193,100500,2026-06-10,6,4,SELL,1200,229.49,2026-06-10 12:01:00,275388.0
194,100099,2026-05-11,5,5,SELL,3000,1478.5,2026-05-11 13:20:00,4435500.0
195,100427,2026-06-04,4,3,BUY,2900,951.59,2026-06-04 10:28:00,2759611.0
196,100437,2026-06-04,8,6,SELL,500,2576.82,2026-06-04 15:13:00,1288410.0
197,100203,2026-05-18,5,2,BUY,2300,1461.24,2026-05-18 13:43:00,3360852.0
198,100089,2026-05-08,7,3,BUY,130000,95.19,2026-05-08 17:03:00,12374700.0
199,100233,2026-05-20,5,6,SELL,1500,1778.73,2026-05-20 13:51:00,2668095.0
200,100395,2026-06-02,4,3,SELL,1800,2640.31,2026-06-02 15:23:00,4752558.0
201,100236,2026-05-20,5,1,SELL,2400,1841.35,2026-05-20 10:45:00,4419240.0
202,100310,2026-05-26,7,3,BUY,84000,95.42,2026-05-26 10:22:00,8015280.0
203,100178,2026-05-15,4,1,BUY,3800,808.65,2026-05-15 12:21:00,3072870.0
204,100358,2026-05-29,6,5,SELL,3000,450.76,2026-05-29 16:48:00,1352280.0
205,100159,2026-05-14,7,3,BUY,154000,103.65,2026-05-14 09:58:00,15962100.0
206,100180,2026-05-15,5,2,BUY,4300,2792.67,2026-05-15 11:00:00,12008481.0
207,100537,2026-06-12,7,5,SELL,151000,98.26,2026-06-12 13:33:00,14837260.0
208,100541,2026-06-12,3,3,SELL,46000,101.18,2026-06-12 15:02:00,4654280.0
209,100133,2026-05-13,1,2,SELL,4000,2457.15,2026-05-13 16:48:00,9828600.0
210,100380,2026-06-01,7,3,BUY,172000,97.73,2026-06-01 16:31:00,16809560.0
211,100172,2026-05-15,2,1,BUY,3500,563.78,2026-05-15 16:23:00,1973230.0
212,100260,2026-05-22,1,6,SELL,4000,3194.36,2026-05-22 13:40:00,12777440.0
213,100329,2026-05-27,8,5,BUY,4900,904.77,2026-05-27 10:33:00,4433373.0
214,100526,2026-06-11,8,2,BUY,2400,161.64,2026-06-11 10:18:00,387935.99999999994
215,100148,2026-05-13,7,6,BUY,94000,103.52,2026-05-13 17:24:00,9730880.0
216,100425,2026-06-04,2,5,BUY,1800,2514.09,2026-06-04 14:34:00,4525362.0
217,100411,2026-06-03,3,2,SELL,111000,95.29,2026-06-03 12:28:00,10577190.0
218,100322,2026-05-27,6,3,BUY,1200,2013.41,2026-05-27 15:52:00,2416092.0
219,100249,2026-05-21,1,3,BUY,2300,885.43,2026-05-21 10:49:00,2036489.0
220,100181,2026-05-15,6,2,SELL,200,681.45,2026-05-15 09:08:00,136290.0
221,100004,2026-05-01,4,4,SELL,100,2464.36,2026-05-01 11:44:00,246436.0
222,100081,2026-05-07,7,6,BUY,190000,97.14,2026-05-07 15:26:00,18456600.0
223,100168,2026-05-14,2,4,SELL,4400,2434.49,2026-05-14 13:37:00,10711755.999999998
224,100413,2026-06-03,2,5,BUY,3500,720.23,2026-06-03 14:12:00,2520805.0
225,100017,2026-05-01,8,1,BUY,800,616.17,2026-05-01 11:50:00,492935.99999999994
226,100379,2026-06-01,6,1,BUY,2800,858.04,2026-06-01 10:21:00,2402512.0
227,100248,2026-05-21,1,4,SELL,300,2088.8,2026-05-21 14:16:00,626640.0
228,100422,2026-06-04,8,4,SELL,2700,2315.93,2026-06-04 16:31:00,6253011.0
229,100357,2026-05-29,5,4,SELL,3500,2128.6,2026-05-29 13:16:00,7450100.0
230,100029,2026-05-04,4,1,BUY,4600,2074.86,2026-05-04 12:04:00,9544356.0
231,100125,2026-05-12,8,4,BUY,3900,271.58,2026-05-12 15:47:00,1059162.0
232,100252,2026-05-22,8,1,SELL,1300,283.61,2026-05-22 12:56:00,368693.0
233,100406,2026-06-03,3,3,SELL,97000,99.55,2026-06-03 12:33:00,9656350.0
234,100515,2026-06-10,8,2,SELL,4800,387.31,2026-06-10 14:20:00,1859088.0
235,100187,2026-05-15,6,4,SELL,3000,1691.93,2026-05-15 15:06:00,5075790.0
236,100372,2026-06-01,1,1,SELL,2500,1300.37,2026-06-01 16:03:00,3250924.9999999995
237,100226,2026-05-20,3,3,SELL,177000,101.98,2026-05-20 15:08:00,18050460.0
238,100271,2026-05-22,3,2,SELL,16000,98.61,2026-05-22 14:29:00,1577760.0
239,100221,2026-05-19,1,4,BUY,2200,3146.28,2026-05-19 10:32:00,6921816.0
240,100428,2026-06-04,2,2,BUY,4800,1943.17,2026-06-04 14:55:00,9327216.0
241,100246,2026-05-21,4,6,BUY,1900,1459.18,2026-05-21 14:15:00,2772442.0
242,100518,2026-06-10,2,6,BUY,400,1327.11,2026-06-10 15:10:00,530844.0
243,100200,2026-05-18,7,4,SELL,50000,98.7,2026-05-18 14:49:00,4935000.0
244,100424,2026-06-04,5,2,SELL,3700,2414.68,2026-06-04 16:35:00,8934316.0
245,100408,2026-06-03,2,3,BUY,4600,501.01,2026-06-03 14:41:00,2304646.0
246,100525,2026-06-11,5,6,SELL,2000,874.52,2026-06-11 09:25:00,1749040.0
247,100113,2026-05-11,1,5,SELL,3100,1610.08,2026-05-11 14:11:00,4991248.0
248,100174,2026-05-15,7,3,BUY,186000,98.71,2026-05-15 16:28:00,18360060.0
249,100146,2026-05-13,2,4,BUY,3400,2926.85,2026-05-13 09:46:00,9951290.0
250,100420,2026-06-03,3,4,SELL,45000,96.87,2026-06-03 16:39:00,4359150.0
251,100124,2026-05-12,5,4,BUY,3000,2250.47,2026-05-12 15:17:00,6751409.999999999
252,100304,2026-05-26,8,6,BUY,4600,571.15,2026-05-26 12:35:00,2627290.0
253,100539,2026-06-12,2,1,BUY,1900,2795.8,2026-06-12 14:56:00,5312020.0
254,100463,2026-06-05,8,5,BUY,2000,2181.54,2026-06-05 11:07:00,4363080.0
255,100554,2026-06-12,4,6,BUY,4400,780.53,2026-06-12 15:32:00,3434332.0
256,100449,2026-06-05,3,4,SELL,194000,97.13,2026-06-05 11:58:00,18843220.0
257,100031,2026-05-04,3,6,SELL,72000,102.85,2026-05-04 15:12:00,7405200.0
258,100382,2026-06-01,5,2,BUY,600,967.31,2026-06-01 15:45:00,580386.0
259,100058,2026-05-05,7,1,BUY,198000,104.24,2026-05-05 15:51:00,20639520.0
260,100558,2026-06-08,6,2,SELL,-4700,1125.8,2026-06-08 10:36:00,-5291260.0
261,100343,2026-05-28,4,1,BUY,3900,252.41,2026-05-28 09:15:00,984399.0
262,100506,2026-06-10,5,2,SELL,300,425.28,2026-06-10 12:38:00,127583.99999999999
263,100198,2026-05-18,6,3,BUY,1200,2803.08,2026-05-18 15:04:00,3363696.0
264,100140,2026-05-13,3,1,SELL,116000,98.4,2026-05-13 17:17:00,11414400.0
265,100295,2026-05-25,6,5,SELL,4900,590.02,2026-05-25 17:25:00,2891098.0
266,100205,2026-05-19,4,3,BUY,5000,568.57,2026-05-19 13:18:00,2842850.0000000005
267,100206,2026-05-19,6,1,BUY,3200,2428.39,2026-05-19 11:08:00,7770848.0
268,100369,2026-06-01,7,2,BUY,34000,100.24,2026-06-01 12:12:00,3408160.0
269,100094,2026-05-08,3,3,BUY,158000,95.26,2026-05-08 13:36:00,15051080.0
270,100393,2026-06-02,3,3,SELL,164000,104.47,2026-06-02 12:30:00,17133080.0
271,100511,2026-06-10,7,6,SELL,176000,98.17,2026-06-10 17:44:00,17277920.0
272,100048,2026-05-05,5,5,BUY,4300,2642.17,2026-05-05 13:59:00,11361331.0
273,100138,2026-05-13,5,5,SELL,2700,2695.91,2026-05-13 16:15:00,7278957.0
274,100225,2026-05-19,7,3,SELL,195000,103.52,2026-05-19 11:21:00,20186400.0
275,100337,2026-05-28,5,4,BUY,5000,563.06,2026-05-28 15:23:00,2815299.9999999995
276,100169,2026-05-14,7,6,SELL,37000,101.75,2026-05-14 16:01:00,3764750.0
277,100088,2026-05-08,4,4,SELL,2200,2471.75,2026-05-08 15:17:00,5437850.0
278,100360,2026-05-29,3,1,SELL,151000,104.35,2026-05-29 15:18:00,15756850.0
279,100010,2026-05-01,8,6,SELL,1100,1279.05,2026-05-01 12:42:00,1406955.0
280,100405,2026-06-03,1,4,BUY,1900,1418.73,2026-06-03 10:07:00,2695587.0
281,100049,2026-05-05,2,2,SELL,800,2863.62,2026-05-05 17:09:00,2290896.0
282,100416,2026-06-03,6,4,BUY,4400,2303.26,2026-06-03 13:58:00,10134344.000000002
283,100219,2026-05-19,5,1,BUY,4000,1961.94,2026-05-19 15:29:00,7847760.0
284,100461,2026-06-05,3,5,SELL,110000,100.86,2026-06-05 10:19:00,11094600.0
285,100185,2026-05-15,2,4,SELL,500,2892.76,2026-05-15 14:38:00,1446380.0
286,100447,2026-06-05,7,1,BUY,36000,98.13,2026-06-05 13:08:00,3532680.0
287,100470,2026-06-08,3,2,BUY,151000,103.03,2026-06-08 15:14:00,15557530.0
288,100090,2026-05-08,6,2,BUY,5000,3069.72,2026-05-08 09:48:00,15348599.999999998
289,100499,2026-06-09,1,4,SELL,3100,1810.78,2026-06-09 16:22:00,5613418.0
290,100026,2026-05-04,5,5,SELL,1400,2983.19,2026-05-04 12:45:00,4176466.0
291,100507,2026-06-10,4,1,SELL,100,1161.79,2026-06-10 12:51:00,116179.0
292,100136,2026-05-13,3,3,BUY,151000,99.08,2026-05-13 12:53:00,14961080.0
293,100331,2026-05-27,4,5,BUY,1100,1150.76,2026-05-27 17:28:00,1265836.0
294,100402,2026-06-02,1,5,SELL,4900,1161.37,2026-06-02 15:06:00,5690712.999999999
295,100119,2026-05-12,2,2,BUY,1200,1833.58,2026-05-12 11:00:00,2200296.0
296,100522,2026-06-11,2,5,BUY,2200,1961.79,2026-06-11 16:45:00,4315938.0
297,100341,2026-05-28,7,2,BUY,127000,98.46,2026-05-28 13:12:00,12504420.0
298,100039,2026-05-04,7,6,SELL,49000,96.9,2026-05-04 12:03:00,4748100.0
299,100332,2026-05-28,4,6,SELL,600,2891.61,2026-05-28 16:51:00,1734966.0
